RT,First name,Last name,Party,Constituency,Uri,Rebel
25413,Alberto,Costa,Conservative,South Leicestershire,http://data.parliament.uk/members/4439,22
25593,Robert,Courts,Conservative,Witney,http://data.parliament.uk/members/4589,22
25890,Claire,Coutinho,Conservative,East Surrey,http://data.parliament.uk/members/4806,23
25288,Ronnie,Cowan,Scottish National Party,Inverclyde,http://data.parliament.uk/members/4465,0
11541,Geoffrey,Cox,Conservative,Torridge and West Devon,http://data.parliament.uk/members/1508,17
25326,Neil,Coyle,Labour,Bermondsey and Old Southwark,http://data.parliament.uk/members/4368,11
11768,Stephen,Crabb,Conservative,Preseli Pembrokeshire,http://data.parliament.uk/members/1554,18
25295,Angela,Crawley,Scottish National Party,Lanark and Hamilton East,http://data.parliament.uk/members/4469,0
24949,Stella,Creasy,Labour,Walthamstow,http://data.parliament.uk/members/4088,13
25843,Virginia,Crosbie,Conservative,Ynys M??n,http://data.parliament.uk/members/4859,19
24871,Tracey,Crouch,Conservative,Chatham and Aylesford,http://data.parliament.uk/members/3950,24
10828,Jon,Cruddas,Labour,Dagenham and Rainham,http://data.parliament.uk/members/1406,14
10143,John,Cryer,Labour,Leyton and Wanstead,http://data.parliament.uk/members/181,10
25393,Judith,Cummins,Labour,Bradford South,http://data.parliament.uk/members/4391,11
24742,Alex,Cunningham,Labour,Stockton North,http://data.parliament.uk/members/4122,14
25727,Janet,Daby,Labour,Lewisham East,http://data.parliament.uk/members/4698,14
25905,James,Daly,Conservative,Bury North,http://data.parliament.uk/members/4854,23
10155,Edward,Davey,Liberal Democrat,Kingston and Surbiton,http://data.parliament.uk/members/188,0
10842,Wayne,David,Labour,Caerphilly,http://data.parliament.uk/members/1398,9
11719,David,Davies,Conservative,Monmouth,http://data.parliament.uk/members/1545,19
25858,Gareth,Davies,Conservative,Grantham and Stamford,http://data.parliament.uk/members/4850,22
10159,Geraint,Davies,Labour,Swansea West,http://data.parliament.uk/members/155,10
25292,James,Davies,Conservative,Vale of Clwyd,http://data.parliament.uk/members/4476,22
25330,Mims,Davies,Conservative,Mid Sussex,http://data.parliament.uk/members/4513,20
11816,Philip,Davies,Conservative,Shipley,http://data.parliament.uk/members/1565,17
25824,Alex,Davies-Jones,Labour,Pontypridd,http://data.parliament.uk/members/4849,11
10162,David,Davis,Conservative,Haltemprice and Howden,http://data.parliament.uk/members/373,20
25815,Dehenna,Davison,Conservative,Bishop Auckland,http://data.parliament.uk/members/4737,24
25307,Martyn,Day,Scottish National Party,Linlithgow and East Falkirk,http://data.parliament.uk/members/4488,0
25620,Marsha,de Cordova,Labour,Battersea,http://data.parliament.uk/members/4676,8
25402,Thangam,Debbonaire,Labour,Bristol West,http://data.parliament.uk/members/4433,7
25695,Tan,Dhesi,Labour,Slough,http://data.parliament.uk/members/4638,13
24873,Caroline,Dinenage,Conservative,Gosport,http://data.parliament.uk/members/4008,21
25877,Sarah,Dines,Conservative,Derbyshire Dales,http://data.parliament.uk/members/4816,23
10854,Jonathan,Djanogly,Conservative,Huntingdon,http://data.parliament.uk/members/1425,23
25628,Leo,Docherty,Conservative,Aldershot,http://data.parliament.uk/members/4600,22
25275,Martin,Docherty,Scottish National Party,West Dunbartonshire,http://data.parliament.uk/members/4374,0
25618,Anneliese,Dodds,Labour,Oxford East,http://data.parliament.uk/members/4657,12
10172,Jeffrey M.,Donaldson,DUP,Lagan Valley,http://data.parliament.uk/members/650,0
25316,Michelle,Donelan,Conservative,Chippenham,http://data.parliament.uk/members/4530,15
25796,Dave,Doogan,Scottish National Party,Angus,http://data.parliament.uk/members/4736,0
25870,Allan,Dorans,Scottish National Party,"Ayr, Carrick and Cumnock",http://data.parliament.uk/members/4740,0
11397,Nadine,Dorries,Conservative,Mid Bedfordshire,http://data.parliament.uk/members/1481,17
25410,Steve,Double,Conservative,St Austell and Newquay,http://data.parliament.uk/members/4452,21
25166,Stephen,Doughty,Labour,Cardiff South and Penarth,http://data.parliament.uk/members/4264,10
25309,Peter,Dowd,Labour,Bootle,http://data.parliament.uk/members/4397,10
25323,Oliver,Dowden,Conservative,Hertsmere,http://data.parliament.uk/members/4441,21
24957,Jackie,Doyle-Price,Conservative,Thurrock,http://data.parliament.uk/members/4065,22
24903,Richard,Drax,Conservative,South Dorset,http://data.parliament.uk/members/4132,21
24825,Jack,Dromey,Labour,"Birmingham, Erdington",http://data.parliament.uk/members/3913,9
25392,Flick,Drummond,Conservative,Meon Valley,http://data.parliament.uk/members/4459,22
11785,James,Duddridge,Conservative,Rochford and Southend East,http://data.parliament.uk/members/1559,14
25656,Rosie,Duffield,Labour,Canterbury,http://data.parliament.uk/members/4616,12
25664,David,Duguid,Conservative,Banff and Buchan,http://data.parliament.uk/members/4606,17
10180,Iain,Duncan Smith,Conservative,Chingford and Woodford Green,http://data.parliament.uk/members/152,24
11696,Philip,Dunne,Conservative,Ludlow,http://data.parliament.uk/members/1542,20
10182,Angela,Eagle,Labour,Wallasey,http://data.parliament.uk/members/491,13
10183,Maria,Eagle,Labour,Garston and Halewood,http://data.parliament.uk/members/483,13
25130,Colum,Eastwood,Social Democratic and Labour Party,Foyle,http://data.parliament.uk/members/4846,0
25923,Mark,Eastwood,Conservative,Dewsbury,http://data.parliament.uk/members/4807,24
24743,Jonathan,Edwards,Plaid Cymru,Carmarthen East and Dinefwr,http://data.parliament.uk/members/3943,0
25854,Ruth,Edwards,Conservative,Rushcliffe,http://data.parliament.uk/members/4808,23
10185,Clive,Efford,Labour,Eltham,http://data.parliament.uk/members/165,13
24710,Julie,Elliott,Labour,Sunderland Central,http://data.parliament.uk/members/4127,14
24866,Michael,Ellis,Conservative,Northampton North,http://data.parliament.uk/members/4116,22
11437,Tobias,Ellwood,Conservative,Bournemouth East,http://data.parliament.uk/members/1487,18
25490,Chris,Elmore,Labour,Ogmore,http://data.parliament.uk/members/4572,11
25831,Natalie,Elphicke,Conservative,Dover,http://data.parliament.uk/members/4795,22
25759,Florence,Eshalomi,Labour,Vauxhall,http://data.parliament.uk/members/4870,10
24905,Bill,Esterson,Labour,Sefton Central,http://data.parliament.uk/members/4061,14
24933,George,Eustice,Conservative,Camborne and Redruth,http://data.parliament.uk/members/3934,22
24721,Chris,Evans,Labour,Islwyn,http://data.parliament.uk/members/4040,10
25805,Luke,Evans,Conservative,Bosworth,http://data.parliament.uk/members/4781,20
10190,Nigel,Evans,Conservative,Ribble Valley,http://data.parliament.uk/members/474,10
11408,David,Evennett,Conservative,Bexleyheath and Crayford,http://data.parliament.uk/members/1198,21
25910,Ben,Everitt,Conservative,Milton Keynes North,http://data.parliament.uk/members/4836,23
10193,Michael,Fabricant,Conservative,Lichfield,http://data.parliament.uk/members/280,23
25835,Laura,Farris,Conservative,Newbury,http://data.parliament.uk/members/4826,23
11923,Tim,Farron,Liberal Democrat,Westmorland and Lonsdale,http://data.parliament.uk/members/1591,2
13899,Stephen,Farry,Alliance,North Down,http://data.parliament.uk/members/4856,0
25869,Simon,Fell,Conservative,Barrow and Furness,http://data.parliament.uk/members/4744,24
25277,Marion,Fellows,Scottish National Party,Motherwell and Wishaw,http://data.parliament.uk/members/4440,0
25287,Margaret,Ferrier,Scottish National Party,Rutherglen and Hamilton West,http://data.parliament.uk/members/4386,0
25821,John,Finucane,Sinn F??in,Belfast North,http://data.parliament.uk/members/4823,0
25319,Colleen,Fletcher,Labour,Coventry North East,http://data.parliament.uk/members/4378,11
25830,Katherine,Fletcher,Conservative,South Ribble,http://data.parliament.uk/members/4834,22
25903,Mark,Fletcher,Conservative,Bolsover,http://data.parliament.uk/members/4774,22
25859,Nicholas,Fletcher,Conservative,Don Valley,http://data.parliament.uk/members/4832,21
25867,Stephen,Flynn,Scottish National Party,Aberdeen South,http://data.parliament.uk/members/4735,0
25614,Vicky,Ford,Conservative,Chelmsford,http://data.parliament.uk/members/4674,21
25338,Kevin,Foster,Conservative,Torbay,http://data.parliament.uk/members/4451,22
24805,Yvonne,Fovargue,Labour,Makerfield,http://data.parliament.uk/members/4034,12
10213,Liam,Fox,Conservative,North Somerset,http://data.parliament.uk/members/223,14
25380,Vicky,Foxcroft,Labour,"Lewisham, Deptford",http://data.parliament.uk/members/4491,14
25833,Mary,Foy,Labour,City of Durham,http://data.parliament.uk/members/4753,5
10901,Mark,Francois,Conservative,Rayleigh and Wickford,http://data.parliament.uk/members/1444,22
25399,Lucy,Frazer,Conservative,South East Cambridgeshire,http://data.parliament.uk/members/4517,23
24817,George,Freeman,Conservative,Mid Norfolk,http://data.parliament.uk/members/4020,19
24934,Mike,Freer,Conservative,Finchley and Golders Green,http://data.parliament.uk/members/4004,23
24787,Richard,Fuller,Conservative,North East Bedfordshire,http://data.parliament.uk/members/3912,24
25489,Gill,Furniss,Labour,"Sheffield, Brightside and Hillsborough",http://data.parliament.uk/members/4571,9
25384,Marcus,Fysh,Conservative,Yeovil,http://data.parliament.uk/members/4446,21
10217,Roger,Gale,Conservative,North Thanet,http://data.parliament.uk/members/87,10
10220,Barry,Gardiner,Labour,Brent North,http://data.parliament.uk/members/146,11
24824,Mark,Garnier,Conservative,Wyre Forest,http://data.parliament.uk/members/4074,16
25354,Nusrat,Ghani,Conservative,Wealden,http://data.parliament.uk/members/4460,22
10225,Nick,Gibb,Conservative,Bognor Regis and Littlehampton,http://data.parliament.uk/members/111,19
25300,Patricia,Gibson,Scottish National Party,North Ayrshire and Arran,http://data.parliament.uk/members/4435,0
25793,Peter,Gibson,Conservative,Darlington,http://data.parliament.uk/members/4754,24
25882,Jo,Gideon,Conservative,Stoke-on-Trent Central,http://data.parliament.uk/members/4817,24
10913,Michelle,Gildernew,Sinn F??in,Fermanagh and South Tyrone,http://data.parliament.uk/members/1416,0
25666,Preet Kaur,Gill,Labour,"Birmingham, Edgbaston",http://data.parliament.uk/members/4603,14
10228,Cheryl,Gillan,Conservative,Chesham and Amersham,http://data.parliament.uk/members/18,1
25629,Paul,Girvan,DUP,South Antrim,http://data.parliament.uk/members/4633,4
24839,John,Glen,Conservative,Salisbury,http://data.parliament.uk/members/4051,22
24927,Mary,Glindon,Labour,North Tyneside,http://data.parliament.uk/members/4126,12
11804,Robert,Goodwill,Conservative,Scarborough and Whitby,http://data.parliament.uk/members/1562,22
11858,Michael,Gove,Conservative,Surrey Heath,http://data.parliament.uk/members/1571,18
25299,Patrick,Grady,Scottish National Party,Glasgow North,http://data.parliament.uk/members/4432,0
24921,Richard,Graham,Conservative,Gloucester,http://data.parliament.uk/members/3990,25
24796,Helen,Grant,Conservative,Maidstone and The Weald,http://data.parliament.uk/members/4018,18
25273,Peter,Grant,Scottish National Party,Glenrothes,http://data.parliament.uk/members/4466,0
10240,James,Gray,Conservative,North Wiltshire,http://data.parliament.uk/members/261,21
25293,Neil,Gray,Scottish National Party,Airdrie and Shotts,http://data.parliament.uk/members/4365,0
10920,Chris,Grayling,Conservative,Epsom and Ewell,http://data.parliament.uk/members/1413,21
25359,Chris,Green,Conservative,Bolton West,http://data.parliament.uk/members/4398,15
10241,Damian,Green,Conservative,Ashford,http://data.parliament.uk/members/76,22
24896,Kate,Green,Labour,Stretford and Urmston,http://data.parliament.uk/members/4120,14
24774,Lilian,Greenwood,Labour,Nottingham South,http://data.parliament.uk/members/4029,13
25349,Margaret,Greenwood,Labour,Wirral West,http://data.parliament.uk/members/4400,14
25927,Andrew,Griffith,Conservative,Arundel and South Downs,http://data.parliament.uk/members/4874,16
11692,Nia,Griffith,Labour,Llanelli,http://data.parliament.uk/members/1541,8
25839,Kate,Griffiths,Conservative,Burton,http://data.parliament.uk/members/4773,21
25812,James,Grundy,Conservative,Leigh,http://data.parliament.uk/members/4843,22
25898,Jonathan,Gullis,Conservative,Stoke-on-Trent North,http://data.parliament.uk/members/4814,24
11531,Andrew,Gwynne,Labour,Denton and Reddish,http://data.parliament.uk/members/1506,13
25357,Louise,Haigh,Labour,"Sheffield, Heeley",http://data.parliament.uk/members/4473,9
24784,Robert,Halfon,Conservative,Harlow,http://data.parliament.uk/members/3985,20
25373,Luke,Hall,Conservative,Thornbury and Yate,http://data.parliament.uk/members/4450,23
10256,Fabian,Hamilton,Labour,Leeds North East,http://data.parliament.uk/members/415,14
11927,Stephen,Hammond,Conservative,Wimbledon,http://data.parliament.uk/members/1585,22
24773,Matthew,Hancock,Conservative,West Suffolk,http://data.parliament.uk/members/4070,16
11610,Greg,Hands,Conservative,Chelsea and Fulham,http://data.parliament.uk/members/1526,20
25447,Claire,Hanna,Social Democratic and Labour Party,Belfast South,http://data.parliament.uk/members/4827,0
25873,Neale,Hanvey,Independent,Kirkcaldy and Cowdenbeath,http://data.parliament.uk/members/4782,0
25646,Emma,Hardy,Labour,Kingston upon Hull West and Hessle,http://data.parliament.uk/members/4645,12
10260,Harriet,Harman,Labour,Camberwell and Peckham,http://data.parliament.uk/members/150,9
11588,Mark,Harper,Conservative,Forest of Dean,http://data.parliament.uk/members/1520,23
25308,Carolyn,Harris,Labour,Swansea East,http://data.parliament.uk/members/4480,10
24731,Rebecca,Harris,Conservative,Castle Point,http://data.parliament.uk/members/3948,22
25600,Trudy,Harrison,Conservative,Copeland,http://data.parliament.uk/members/4593,13
25902,Sally-Ann,Hart,Conservative,Hastings and Rye,http://data.parliament.uk/members/4842,19
24813,Simon,Hart,Conservative,Carmarthen West and South Pembrokeshire,http://data.parliament.uk/members/3944,19
25310,Helen,Hayes,Labour,Dulwich and West Norwood,http://data.parliament.uk/members/4510,14
10265,John,Hayes,Conservative,South Holland and The Deepings,http://data.parliament.uk/members/350,21
25154,Christopher,Hazzard,Sinn F??in,South Down,http://data.parliament.uk/members/4636,0
10267,Oliver,Heald,Conservative,North East Hertfordshire,http://data.parliament.uk/members/69,20
10268,John,Healey,Labour,Wentworth and Dearne,http://data.parliament.uk/members/400,11
25438,James,Heappey,Conservative,Wells,http://data.parliament.uk/members/4528,16
24841,Chris,Heaton-Harris,Conservative,Daventry,http://data.parliament.uk/members/3977,13
24828,Gordon,Henderson,Conservative,Sittingbourne and Sheppey,http://data.parliament.uk/members/4050,22
10682,Mark,Hendrick,Labour,Preston,http://data.parliament.uk/members/473,10
25382,Drew,Hendry,Scottish National Party,"Inverness, Nairn, Badenoch and Strathspey",http://data.parliament.uk/members/4467,0
25871,Darren,Henry,Conservative,Broxtowe,http://data.parliament.uk/members/4794,23
25842,Antony,Higginbotham,Conservative,Burnley,http://data.parliament.uk/members/4833,24
25619,Mike,Hill,Labour,Hartlepool,http://data.parliament.uk/members/4644,13
11605,Meg,Hillier,Labour,Hackney South and Shoreditch,http://data.parliament.uk/members/1524,11
24782,Damian,Hinds,Conservative,East Hampshire,http://data.parliament.uk/members/3969,21
25427,Simon,Hoare,Conservative,North Dorset,http://data.parliament.uk/members/4494,20
25648,Wera,Hobhouse,Liberal Democrat,Bath,http://data.parliament.uk/members/4602,2
10281,Margaret,Hodge,Labour,Barking,http://data.parliament.uk/members/140,7
11592,Sharon,Hodgson,Labour,Washington and Sunderland West,http://data.parliament.uk/members/1521,14
25893,Richard,Holden,Conservative,North West Durham,http://data.parliament.uk/members/4813,20
25298,Kate,Hollern,Labour,Blackburn,http://data.parliament.uk/members/4363,12
25415,Kevin,Hollinrake,Conservative,Thirsk and Malton,http://data.parliament.uk/members/4474,20
11661,Philip,Hollobone,Conservative,Kettering,http://data.parliament.uk/members/1537,27
11599,Adam,Holloway,Conservative,Gravesham,http://data.parliament.uk/members/1522,20
25808,Paul,Holmes,Conservative,Eastleigh,http://data.parliament.uk/members/4803,24
25809,Rachel,Hopkins,Labour,Luton South,http://data.parliament.uk/members/4873,12
11973,Stewart,Hosie,Scottish National Party,Dundee East,http://data.parliament.uk/members/1514,0
10292,George,Howarth,Labour,Knowsley,http://data.parliament.uk/members/481,13
14131,John,Howell,Conservative,Henley,http://data.parliament.uk/members/1606,21
25855,Paul,Howell,Conservative,Sedgefield,http://data.parliament.uk/members/4830,19
10295,Lindsay,Hoyle,Speaker,Chorley,http://data.parliament.uk/members/467,0
25381,Nigel,Huddleston,Conservative,Mid Worcestershire,http://data.parliament.uk/members/4407,16
25875,Neil,Hudson,Conservative,Penrith and The Border,http://data.parliament.uk/members/4853,18
25699,Eddie,Hughes,Conservative,Walsall North,http://data.parliament.uk/members/4635,22
25921,Jane,Hunt,Conservative,Loughborough,http://data.parliament.uk/members/4839,23
11859,Jeremy,Hunt,Conservative,South West Surrey,http://data.parliament.uk/members/1572,19
25811,Tom,Hunt,Conservative,Ipswich,http://data.parliament.uk/members/4771,22
25284,Rupa,Huq,Labour,Ealing Central and Acton,http://data.parliament.uk/members/4511,12
25375,Imran,Hussain,Labour,Bradford East,http://data.parliament.uk/members/4394,5
25674,Alister,Jack,Conservative,Dumfries and Galloway,http://data.parliament.uk/members/4619,16
25675,Christine,Jardine,Liberal Democrat,Edinburgh West,http://data.parliament.uk/members/4634,4
25067,Dan,Jarvis,Labour,Barnsley Central,http://data.parliament.uk/members/4243,13
24854,Sajid,Javid,Conservative,Bromsgrove,http://data.parliament.uk/members/3945,9
25419,Ranil,Jayawardena,Conservative,North East Hampshire,http://data.parliament.uk/members/4498,13
10312,Bernard,Jenkin,Conservative,Harwich and North Essex,http://data.parliament.uk/members/40,23
25792,Mark,Jenkinson,Conservative,Workington,http://data.parliament.uk/members/4752,23
25431,Andrea,Jenkyns,Conservative,Morley and Outwood,http://data.parliament.uk/members/4490,17
25227,Robert,Jenrick,Conservative,Newark,http://data.parliament.uk/members/4320,21
10999,Boris,Johnson,Conservative,Uxbridge and South Ruislip,http://data.parliament.uk/members/1423,0
25597,Caroline,Johnson,Conservative,Sleaford and North Hykeham,http://data.parliament.uk/members/4592,20
11647,Diana R.,Johnson,Labour,Kingston upon Hull North,http://data.parliament.uk/members/1533,13
24803,Gareth,Johnson,Conservative,Dartford,http://data.parliament.uk/members/3970,21
25803,Kim,Johnson,Labour,"Liverpool, Riverside",http://data.parliament.uk/members/4824,14
25924,David,Johnston,Conservative,Wantage,http://data.parliament.uk/members/4761,20
24758,Andrew,Jones,Conservative,Harrogate and Knaresborough,http://data.parliament.uk/members/3996,22
25637,Darren,Jones,Labour,Bristol North West,http://data.parliament.uk/members/4621,11
11506,David,Jones,Conservative,Clwyd West,http://data.parliament.uk/members/1502,21
25881,Fay,Jones,Conservative,Brecon and Radnorshire,http://data.parliament.uk/members/4763,21
25289,Gerald,Jones,Labour,Merthyr Tydfil and Rhymney,http://data.parliament.uk/members/4501,8
11003,Kevan,Jones,Labour,North Durham,http://data.parliament.uk/members/1438,13
24745,Marcus,Jones,Conservative,Nuneaton,http://data.parliament.uk/members/4024,14
25746,Ruth,Jones,Labour,Newport West,http://data.parliament.uk/members/4716,11
25673,Sarah,Jones,Labour,Croydon Central,http://data.parliament.uk/members/4631,13
25911,Simon,Jupp,Conservative,East Devon,http://data.parliament.uk/members/4862,24
25220,Mike,Kane,Labour,Wythenshawe and Sale East,http://data.parliament.uk/members/4316,13
11817,Daniel,Kawczynski,Conservative,Shrewsbury and Atcham,http://data.parliament.uk/members/1566,18
25906,Alicia,Kearns,Conservative,Rutland and Melton,http://data.parliament.uk/members/4805,21
25670,Gillian,Keegan,Conservative,Chichester,http://data.parliament.uk/members/4680,22
11943,Barbara,Keeley,Labour,Worsley and Eccles South,http://data.parliament.uk/members/1588,14
24816,Liz,Kendall,Labour,Leicester West,http://data.parliament.uk/members/4026,13
25662,Afzal,Khan,Labour,"Manchester, Gorton",http://data.parliament.uk/members/4671,14
25822,Imran Ahmad,Khan,Conservative,Wakefield,http://data.parliament.uk/members/4841,21
25297,Stephen,Kinnock,Labour,Aberavon,http://data.parliament.uk/members/4359,10
11026,Greg,Knight,Conservative,East Yorkshire,http://data.parliament.uk/members/1200,17
25388,Julian,Knight,Conservative,Solihull,http://data.parliament.uk/members/4410,20
25913,Danny,Kruger,Conservative,Devizes,http://data.parliament.uk/members/4858,21
24770,Kwasi,Kwarteng,Conservative,Spelthorne,http://data.parliament.uk/members/4134,21
25418,Peter,Kyle,Labour,Hove,http://data.parliament.uk/members/4505,13
10348,Eleanor,Laing,Conservative,Epping Forest,http://data.parliament.uk/members/36,10
10678,David,Lammy,Labour,Tottenham,http://data.parliament.uk/members/206,12
14026,John,Lamont,Conservative,"Berwickshire, Roxburgh and Selkirk",http://data.parliament.uk/members/4608,16
25841,Robert,Largan,Conservative,High Peak,http://data.parliament.uk/members/4852,26
24821,Pauline,Latham,Conservative,Mid Derbyshire,http://data.parliament.uk/members/4025,18
24963,Ian,Lavery,Labour,Wansbeck,http://data.parliament.uk/members/4139,13
25270,Chris,Law,Scottish National Party,Dundee West,http://data.parliament.uk/members/4403,0
24829,Andrea,Leadsom,Conservative,South Northamptonshire,http://data.parliament.uk/members/4117,10
10352,Edward,Leigh,Conservative,Gainsborough,http://data.parliament.uk/members/345,14
25791,Ian,Levy,Conservative,Blyth Valley,http://data.parliament.uk/members/4749,21
25181,Emma,Lewell-Buck,Labour,South Shields,http://data.parliament.uk/members/4277,16
25686,Andrew,Lewer,Conservative,Northampton South,http://data.parliament.uk/members/4659,21
24879,Brandon,Lewis,Conservative,Great Yarmouth,http://data.parliament.uk/members/4009,21
25356,Clive,Lewis,Labour,Norwich South,http://data.parliament.uk/members/4500,14
10358,Julian,Lewis,Conservative,New Forest East,http://data.parliament.uk/members/54,21
11048,Ian,Liddell-Grainger,Conservative,Bridgwater and West Somerset,http://data.parliament.uk/members/1396,18
25677,David,Linden,Scottish National Party,Glasgow East,http://data.parliament.uk/members/4640,0
10367,Tony,Lloyd,Labour,Rochdale,http://data.parliament.uk/members/450,10
25562,Carla,Lockhart,DUP,Upper Bann,http://data.parliament.uk/members/4857,3
25918,Chris,Loder,Conservative,West Dorset,http://data.parliament.uk/members/4751,22
25886,Mark,Logan,Conservative,Bolton North East,http://data.parliament.uk/members/4815,20
25368,Rebecca,Long-Bailey,Labour,Salford and Eccles,http://data.parliament.uk/members/4396,2
25917,Marco,Longhi,Conservative,Dudley North,http://data.parliament.uk/members/4789,21
25652,Julia,Lopez,Conservative,Hornchurch and Upminster,http://data.parliament.uk/members/4647,20
24716,Jack,Lopresti,Conservative,Filton and Bradley Stoke,http://data.parliament.uk/members/3989,21
24884,Jonathan,Lord,Conservative,Woking,http://data.parliament.uk/members/4090,21
10371,Tim,Loughton,Conservative,East Worthing and Shoreham,http://data.parliament.uk/members/114,28
24910,Caroline,Lucas,Green,"Brighton, Pavilion",http://data.parliament.uk/members/3930,0
25434,Holly,Lynch,Labour,Halifax,http://data.parliament.uk/members/4472,13
14031,Kenny,MacAskill,Scottish National Party,East Lothian,http://data.parliament.uk/members/4772,0
25437,Craig,Mackinlay,Conservative,South Thanet,http://data.parliament.uk/members/4529,20
25802,Cherilyn,Mackrory,Conservative,Truro and Falmouth,http://data.parliament.uk/members/4758,22
25692,Rachel,Maclean,Conservative,Redditch,http://data.parliament.uk/members/4668,19
12004,Angus,MacNeil,Scottish National Party,Na h-Eileanan an Iar,http://data.parliament.uk/members/1546,0
25378,Justin,Madders,Labour,Ellesmere Port and Neston,http://data.parliament.uk/members/4418,14
11087,Khalid,Mahmood,Labour,"Birmingham, Perry Barr",http://data.parliament.uk/members/1392,9
24788,Shabana,Mahmood,Labour,"Birmingham, Ladywood",http://data.parliament.uk/members/3914,13
25285,Alan,Mak,Conservative,Havant,http://data.parliament.uk/members/4484,21
25150,Seema,Malhotra,Labour,Feltham and Heston,http://data.parliament.uk/members/4253,10
25346,Kit,Malthouse,Conservative,North West Hampshire,http://data.parliament.uk/members/4495,23
25868,Anthony,Mangnall,Conservative,Totnes,http://data.parliament.uk/members/4762,24
25383,Scott,Mann,Conservative,North Cornwall,http://data.parliament.uk/members/4496,22
25879,Julie,Marson,Conservative,Hertford and Stortford,http://data.parliament.uk/members/4768,24
25433,Rachael,Maskell,Labour,York Central,http://data.parliament.uk/members/4471,15
13904,Paul,Maskey,Sinn F??in,Belfast West,http://data.parliament.uk/members/4245,0
25411,Chris,Matheson,Labour,City of Chester,http://data.parliament.uk/members/4408,14
10426,Theresa,May,Conservative,Maidenhead,http://data.parliament.uk/members/8,18
25904,Jerome,Mayhew,Conservative,Broadland,http://data.parliament.uk/members/4739,23
24764,Paul,Maynard,Conservative,Blackpool North and Cleveleys,http://data.parliament.uk/members/3926,22
10377,Steve,McCabe,Labour,"Birmingham, Selly Oak",http://data.parliament.uk/members/298,14
11455,Kerry,McCarthy,Labour,Bristol East,http://data.parliament.uk/members/1491,12
24887,Jason,McCartney,Conservative,Colne Valley,http://data.parliament.uk/members/3953,25
24790,Karl,McCartney,Conservative,Lincoln,http://data.parliament.uk/members/4028,21
10381,Siobhain,McDonagh,Labour,Mitcham and Morden,http://data.parliament.uk/members/193,9
25169,Andy,McDonald,Labour,Middlesbrough,http://data.parliament.uk/members/4269,14
25322,Stewart,McDonald,Scottish National Party,Glasgow South,http://data.parliament.uk/members/4461,0
25301,Stuart,McDonald,Scottish National Party,"Cumbernauld, Kilsyth and Kirkintilloch East",http://data.parliament.uk/members/4393,0
10383,John Martin,McDonnell,Labour,Hayes and Harlington,http://data.parliament.uk/members/178,13
11936,Pat,McFadden,Labour,Wolverhampton South East,http://data.parliament.uk/members/1587,13
25423,Conor,McGinn,Labour,St Helens North,http://data.parliament.uk/members/4458,9
24897,Alison,McGovern,Labour,Wirral South,http://data.parliament.uk/members/4083,13
24818,Catherine,McKinnell,Labour,Newcastle upon Tyne North,http://data.parliament.uk/members/4125,13
14146,Anne,McLaughlin,Scottish National Party,Glasgow North East,http://data.parliament.uk/members/4437,0
25475,Jim,McMahon,Labour,Oldham West and Royton,http://data.parliament.uk/members/4569,12
25647,Anna,McMorrin,Labour,Cardiff North,http://data.parliament.uk/members/4632,6
25271,John,McNally,Scottish National Party,Falkirk,http://data.parliament.uk/members/4424,0
24888,Stephen,McPartland,Conservative,Stevenage,http://data.parliament.uk/members/4093,19
24882,Esther,McVey,Conservative,Tatton,http://data.parliament.uk/members/4084,15
24919,Ian,Mearns,Labour,Gateshead,http://data.parliament.uk/members/4000,13
24804,Mark,Menzies,Conservative,Fylde,http://data.parliament.uk/members/3998,20
25367,Johnny,Mercer,Conservative,"Plymouth, Moor View",http://data.parliament.uk/members/4485,16
25426,Huw,Merriman,Conservative,Bexhill and Battle,http://data.parliament.uk/members/4442,24
24749,Stephen,Metcalfe,Conservative,South Basildon and East Thurrock,http://data.parliament.uk/members/4092,19
11545,Ed,Miliband,Labour,Doncaster North,http://data.parliament.uk/members/1510,6
25832,Robin,Millar,Conservative,Aberconwy,http://data.parliament.uk/members/4746,19
11389,Maria,Miller,Conservative,Basingstoke,http://data.parliament.uk/members/1480,24
25350,Amanda,Milling,Conservative,Cannock Chase,http://data.parliament.uk/members/4454,22
24965,Nigel,Mills,Conservative,Amber Valley,http://data.parliament.uk/members/4136,23
25836,Navendu,Mishra,Labour,Stockport,http://data.parliament.uk/members/4811,14
11115,Andrew,Mitchell,Conservative,Sutton Coldfield,http://data.parliament.uk/members/1211,18
25920,Gagan,Mohindra,Conservative,South West Hertfordshire,http://data.parliament.uk/members/4804,24
13836,Francie,Molloy,Sinn F??in,Mid Ulster,http://data.parliament.uk/members/4274,0
25406,Carol,Monaghan,Scottish National Party,Glasgow North West,http://data.parliament.uk/members/4443,0
25630,Damien,Moore,Conservative,Southport,http://data.parliament.uk/members/4669,21
25922,Robbie,Moore,Conservative,Keighley,http://data.parliament.uk/members/4861,24
25689,Layla,Moran,Liberal Democrat,Oxford West and Abingdon,http://data.parliament.uk/members/4656,3
24938,Penny,Mordaunt,Conservative,Portsmouth North,http://data.parliament.uk/members/4017,21
11732,Jessica,Morden,Labour,Newport East,http://data.parliament.uk/members/1548,8
25658,Stephen,Morgan,Labour,Portsmouth South,http://data.parliament.uk/members/4653,8
