RT,First name,Last name,Party,Constituency,Uri,Rebel
11559,Andrew,Slaughter,Labour,Hammersmith,http://data.parliament.uk/members/1516,13
25848,Alyn,Smith,Scottish National Party,Stirling,http://data.parliament.uk/members/4738,0
25432,Cat,Smith,Labour,Lancaster and Fleetwood,http://data.parliament.uk/members/4436,14
24691,Chloe,Smith,Conservative,Norwich North,http://data.parliament.uk/members/1609,21
25925,Greg,Smith,Conservative,Buckingham,http://data.parliament.uk/members/4778,22
24802,Henry,Smith,Conservative,Crawley,http://data.parliament.uk/members/3960,24
25366,Jeff,Smith,Labour,"Manchester, Withington",http://data.parliament.uk/members/4456,4
24961,Julian,Smith,Conservative,Skipton and Ripon,http://data.parliament.uk/members/4118,9
24728,Nick,Smith,Labour,Blaenau Gwent,http://data.parliament.uk/members/3928,9
25345,Royston,Smith,Conservative,"Southampton, Itchen",http://data.parliament.uk/members/4478,10
25390,Karin,Smyth,Labour,Bristol South,http://data.parliament.uk/members/4444,12
25680,Alex,Sobel,Labour,Leeds North West,http://data.parliament.uk/members/4658,13
25436,Amanda,Solloway,Conservative,Derby North,http://data.parliament.uk/members/4372,20
10558,John,Spellar,Labour,Warley,http://data.parliament.uk/members/318,11
25889,Ben,Spencer,Conservative,Runnymede and Weybridge,http://data.parliament.uk/members/4785,23
24909,Mark,Spencer,Conservative,Sherwood,http://data.parliament.uk/members/4055,23
25864,Alexander,Stafford,Conservative,Rother Valley,http://data.parliament.uk/members/4866,12
25353,Keir,Starmer,Labour,Holborn and St Pancras,http://data.parliament.uk/members/4514,0
25306,Chris,Stephens,Scottish National Party,Glasgow South West,http://data.parliament.uk/members/4463,0
24759,Andrew,Stephenson,Conservative,Pendle,http://data.parliament.uk/members/4044,12
25304,Jo,Stevens,Labour,Cardiff Central,http://data.parliament.uk/members/4425,9
25807,Jane,Stevenson,Conservative,Wolverhampton North East,http://data.parliament.uk/members/4750,21
24799,John,Stevenson,Conservative,Carlisle,http://data.parliament.uk/members/3942,22
24907,Bob,Stewart,Conservative,Beckenham,http://data.parliament.uk/members/3919,11
24947,Iain,Stewart,Conservative,Milton Keynes South,http://data.parliament.uk/members/4015,20
25668,Jamie,Stone,Liberal Democrat,"Caithness, Sutherland and Easter Ross",http://data.parliament.uk/members/4612,2
10575,Gary,Streeter,Conservative,South West Devon,http://data.parliament.uk/members/234,4
25320,Wes,Streeting,Labour,Ilford North,http://data.parliament.uk/members/4504,14
24914,Mel,Stride,Conservative,Central Devon,http://data.parliament.uk/members/3935,15
10576,Graham,Stringer,Labour,Blackley and Broughton,http://data.parliament.uk/members/449,9
11406,Graham,Stuart,Conservative,Beverley and Holderness,http://data.parliament.uk/members/1482,11
24853,Julian,Sturdy,Conservative,York Outer,http://data.parliament.uk/members/4079,23
25909,Zarah,Sultana,Labour,Coventry South,http://data.parliament.uk/members/4786,13
25428,Rishi,Sunak,Conservative,Richmond (Yorks),http://data.parliament.uk/members/4483,20
25860,James,Sunderland,Conservative,Bracknell,http://data.parliament.uk/members/4767,21
10580,Desmond,Swayne,Conservative,New Forest West,http://data.parliament.uk/members/55,22
10582,Robert,Syms,Conservative,Poole,http://data.parliament.uk/members/245,23
11267,Mark,Tami,Labour,Alyn and Deeside,http://data.parliament.uk/members/1383,11
25912,Sam,Tarry,Labour,Ilford South,http://data.parliament.uk/members/4829,14
25327,Alison,Thewliss,Scottish National Party,Glasgow Central,http://data.parliament.uk/members/4430,0
25440,Derek,Thomas,Conservative,St Ives,http://data.parliament.uk/members/4532,22
10594,Gareth,Thomas,Labour,Harrow West,http://data.parliament.uk/members/177,11
25279,Nick,Thomas-Symonds,Labour,Torfaen,http://data.parliament.uk/members/4479,10
25278,Owen,Thompson,Scottish National Party,Midlothian,http://data.parliament.uk/members/4482,0
25919,Richard,Thomson,Scottish National Party,Gordon,http://data.parliament.uk/members/4796,0
11656,Emily,Thornberry,Labour,Islington South and Finsbury,http://data.parliament.uk/members/1536,3
25371,Maggie,Throup,Conservative,Erewash,http://data.parliament.uk/members/4447,18
10596,Stephen,Timms,Labour,East Ham,http://data.parliament.uk/members/163,13
14128,Edward,Timpson,Conservative,Eddisbury,http://data.parliament.uk/members/1605,22
25430,Kelly,Tolhurst,Conservative,Rochester and Strood,http://data.parliament.uk/members/4487,21
24870,Justin,Tomlinson,Conservative,North Swindon,http://data.parliament.uk/members/4105,22
25422,Michael,Tomlinson,Conservative,Mid Dorset and North Poole,http://data.parliament.uk/members/4497,22
25290,Craig,Tracey,Conservative,North Warwickshire,http://data.parliament.uk/members/4509,22
25439,Anne-Marie,Trevelyan,Conservative,Berwick-upon-Tweed,http://data.parliament.uk/members/4531,11
10604,Jon,Trickett,Labour,Hemsworth,http://data.parliament.uk/members/410,8
25851,Laura,Trott,Conservative,Sevenoaks,http://data.parliament.uk/members/4780,22
24941,Elizabeth,Truss,Conservative,South West Norfolk,http://data.parliament.uk/members/4097,17
25374,Thomas,Tugendhat,Conservative,Tonbridge and Malling,http://data.parliament.uk/members/4462,23
24767,Karl,Turner,Labour,Kingston upon Hull East,http://data.parliament.uk/members/4030,7
10610,Derek,Twigg,Labour,Halton,http://data.parliament.uk/members/429,14
25623,Liz,Twist,Labour,Blaydon,http://data.parliament.uk/members/4618,9
11475,Shailesh,Vara,Conservative,North West Cambridgeshire,http://data.parliament.uk/members/1496,20
24852,Valerie,Vaz,Labour,Walsall South,http://data.parliament.uk/members/4076,13
24814,Martin,Vickers,Conservative,Cleethorpes,http://data.parliament.uk/members/3957,18
25853,Matt,Vickers,Conservative,Stockton South,http://data.parliament.uk/members/4844,20
11500,Theresa,Villiers,Conservative,Chipping Barnet,http://data.parliament.uk/members/1500,12
25874,Christian,Wakeford,Conservative,Bury South,http://data.parliament.uk/members/4871,24
11461,Charles,Walker,Conservative,Broxbourne,http://data.parliament.uk/members/1493,21
24862,Robin,Walker,Conservative,Worcester,http://data.parliament.uk/members/4091,23
11668,Ben,Wallace,Conservative,Wyre and Preston North,http://data.parliament.uk/members/1539,9
25829,Jamie,Wallis,Conservative,Bridgend,http://data.parliament.uk/members/4766,17
25372,David,Warburton,Conservative,Somerton and Frome,http://data.parliament.uk/members/4526,19
25395,Matt,Warman,Conservative,Boston and Skegness,http://data.parliament.uk/members/4361,20
25644,Giles,Watling,Conservative,Clacton,http://data.parliament.uk/members/4677,24
25926,Suzanne,Webb,Conservative,Stourbridge,http://data.parliament.uk/members/4802,22
25797,Claudia,Webbe,Labour,Leicester East,http://data.parliament.uk/members/4848,13
25328,Catherine,West,Labour,Hornsey and Wood Green,http://data.parliament.uk/members/4523,13
25701,Matt,Western,Labour,Warwick and Leamington,http://data.parliament.uk/members/4617,12
25398,Helen,Whately,Conservative,Faversham and Mid Kent,http://data.parliament.uk/members/4527,18
24769,Heather,Wheeler,Conservative,South Derbyshire,http://data.parliament.uk/members/4053,17
10630,Alan,Whitehead,Labour,"Southampton, Test",http://data.parliament.uk/members/62,14
25318,Philippa,Whitford,Scottish National Party,Central Ayrshire,http://data.parliament.uk/members/4385,0
25798,Mick,Whitley,Labour,Birkenhead,http://data.parliament.uk/members/4755,10
24944,Craig,Whittaker,Conservative,Calder Valley,http://data.parliament.uk/members/3940,20
10632,John,Whittingdale,Conservative,Maldon,http://data.parliament.uk/members/39,21
